 Produção Ambulatorial do SUS - Maranhão - por local de residência
Qtd.aprovada por Procedimento e Ano/mês processamento
Município: 210900 Porto Franco
Período:Jan-Abr/2021
"Procedimento";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"Total"
"0202030636 PESQUISA DE ANTICORPOS CONTRA ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B (ANTI-HBS)";-;-;1;17;18
"0202030679 PESQUISA DE ANTICORPOS CONTRA O VIRUS DA HEPATITE C (ANTI-HCV)";1;-;2;2;5
"0202030970 PESQUISA DE ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B (HBSAG)";1;14;2;1;18
"0202031071 QUANTIFICAÇÃO DE RNA DO HIV-1";-;-;-;2;2
"0202031209 DOSAGEM DE TROPONINA";2;1;-;-;3
"0202050017 ANALISE DE CARACTERES FISICOS, ELEMENTOS E SEDIMENTO DA URINA";-;-;1;-;1
"0202060276 DOSAGEM DE PARATORMONIO";14;-;2;1;17
"0202070085 DOSAGEM DE ALUMINIO";-;-;-;7;7
"0202110060 DOSAGEM DE FENILALANINA TSH OU T4 E DETECCAO DA VARIANTE DE HEMOGLOBINA (COMPONENTE DO TESTE DO PEZI";9;21;15;32;77
"0202110079 DOSAGEM DE TRIPSINA IMUNORREATIVA (COMPONENTE DO TESTE DO PEZINHO)";9;19;15;32;75
"0202110095 DOSAGEM DE 17 HIDROXI PROGESTERONA EM PAPEL DE FILTRO (COMPONENTE DO TESTE DO PEZINHO)";9;19;15;32;75
"0202110109 DOSAGEM DA ATIVIDADE DA BIOTINIDASE EM AMOSTRAS DE SANGUE EM PAPEL DE FILTRO (COMPONENTE DO TESTE DO";9;19;15;32;75
"0203010019 EXAME CITOPATOLOGICO CERVICO-VAGINAL/MICROFLORA";1;1;22;-;24
"0203010086 EXAME CITOPATOLÓGICO CERVICO VAGINAL/MICROFLORA-RASTREAMENTO";3;2;86;-;91
"0203020030 EXAME ANATOMO-PATOLÓGICO PARA CONGELAMENTO / PARAFINA POR PEÇA CIRURGICA OU POR BIOPSIA (EXCETO COL";-;8;-;-;8
"0204030030 MAMOGRAFIA";-;-;1;1;2
"0204030188 MAMOGRAFIA BILATERAL PARA RASTREAMENTO";-;1;2;-;3
"0205020046 ULTRASSONOGRAFIA DE ABDOMEN TOTAL";3;1;3;-;7
"0205020097 ULTRASSONOGRAFIA MAMARIA BILATERAL";1;1;1;-;3
"0205020100 ULTRASSONOGRAFIA DE PROSTATA POR VIA ABDOMINAL";-;1;-;-;1
"0205020127 ULTRASSONOGRAFIA DE TIREOIDE";-;1;-;-;1
"0205020143 ULTRASSONOGRAFIA OBSTETRICA";1;-;1;2;4
"0206010028 TOMOGRAFIA COMPUTADORIZADA DE COLUNA LOMBO-SACRA C/ OU S/ CONTRASTE";2;4;3;-;9
"0206010036 TOMOGRAFIA COMPUTADORIZADA DE COLUNA TORACICA C/ OU S/ CONTRASTE";2;-;-;-;2
"0206010044 TOMOGRAFIA COMPUTADORIZADA DE FACE / SEIOS DA FACE / ARTICULACOES TEMPORO-MANDIBULARES";-;-;1;2;3
"0206010052 TOMOGRAFIA COMPUTADORIZADA DO PESCOCO";1;-;1;-;2
"0206010079 TOMOGRAFIA COMPUTADORIZADA DO CRANIO";4;5;11;8;28
"0206020031 TOMOGRAFIA COMPUTADORIZADA DE TORAX";7;5;10;3;25
"0206030010 TOMOGRAFIA COMPUTADORIZADA DE ABDOMEN SUPERIOR";5;-;3;2;10
"0206030029 TOMOGRAFIA COMPUTADORIZADA DE ARTICULACOES DE MEMBRO INFERIOR";-;-;1;-;1
"0206030037 TOMOGRAFIA COMPUTADORIZADA DE PELVE / BACIA / ABDOMEN INFERIOR";6;1;3;4;14
"0207010048 RESSONANCIA MAGNETICA DE COLUNA LOMBO-SACRA";-;-;1;2;3
"0207010056 RESSONANCIA MAGNETICA DE COLUNA TORACICA";1;-;-;1;2
"0207010064 RESSONANCIA MAGNETICA DE CRANIO";-;1;2;-;3
"0207030014 RESSONANCIA MAGNETICA DE ABDOMEN SUPERIOR";-;-;1;-;1
"0207030022 RESSONANCIA MAGNETICA DE BACIA / PELVE / ABDOMEN INFERIOR";-;-;3;-;3
"0207030030 RESSONANCIA MAGNETICA DE MEMBRO INFERIOR (UNILATERAL)";-;2;1;-;3
"0208050035 CINTILOGRAFIA DE OSSOS COM OU SEM FLUXO SANGUÍNEO (CORPO INTEIRO)";-;-;2;-;2
"0208080040 LINFOCINTILOGRAFIA";-;-;1;-;1
"0209010037 ESOFAGOGASTRODUODENOSCOPIA";2;-;2;1;5
"0209020016 CISTOSCOPIA E/OU URETEROSCOPIA E/OU URETROSCOPIA";-;1;-;-;1
"0211020028 CATETERISMO CARDIACO EM PEDIATRIA";1;-;-;-;1
"0211030040 AVALIAÇÃO DE FUNÇÃO E MECÂNICA RESPIRATÓRIA";2;4;3;6;15
"0211030066 AVALIAÇÃO DE MOVIMENTO (POR IMAGEM)";-;1;-;-;1
"0211030074 AVALIAÇÃO FUNCIONAL MUSCULAR";2;4;3;4;13
"0211070106 AVALIACAO P/ DIAGNOSTICO DIFERENCIAL DE DEFICIENCIA AUDITIVA";-;-;-;1;1
"0211070300 REAVALIACAO DIAGNOSTICA DE DEFICIENCIA AUDITIVA EM PACIENTE MENOR DE 3 ANOS";-;1;1;-;2
"0212010026 EXAMES PRE-TRANSFUSIONAIS I";-;-;-;1;1
"0212010034 EXAMES PRE-TRANSFUSIONAIS II";-;-;-;1;1
"0213010119 HISTOPATOLOGIA P/ IDENTIFICACAO DE DENGUE";-;-;-;1;1
"0213010380 ISOLAMENTO DO VIRUS DA DENGUE";-;-;-;1;1
"0213010720 PESQUISA DE SARS-COV-2 POR RT - PCR";-;2;3;4;9
"0214010040 TESTE RAPIDO PARA DETECCAO DE HIV NA GESTANTE OU PAI/PARCEIRO";-;14;67;-;81
"0214010058 TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV";1;-;5;-;6
"0214010074 TESTE RÁPIDO PARA SÍFILIS";-;-;6;-;6
"0214010082 TESTE RÁPIDO PARA SÍFILIS NA GESTANTE OU PAI/PARCEIRO";-;18;86;-;104
"0214010090 TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C";1;14;73;-;88
"0214010104 TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV";-;15;56;-;71
"0214010163 TESTE RÁPIDO PARA DETECÇÃO DE SARS-COVID-2";-;1;3;-;4
"0301010048 CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENÇÃO ESPECIALIZADA (EXCETO MÉDICO)";-;-;-;2;2
"0301010072 CONSULTA MEDICA EM ATENÇÃO ESPECIALIZADA";14;19;26;-;59
"0301010315 TELECONSULTA POR PROFISSIONAIS DE NÍVEL SUPERIOR NA ATENÇÃO ESPECIALIZADA (EXCETO MÉDICO)";-;-;1;3;4
"0301060029 ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA";-;-;-;1;1
"0301060061 ATENDIMENTO DE URGENCIA EM ATENCAO ESPECIALIZADA";3;6;7;-;16
"0301060096 ATENDIMENTO MEDICO EM UNIDADE DE PRONTO ATENDIMENTO";-;1;1;7;9
"0301060118 ACOLHIMENTO COM CLASSIFICAÇÃO DE RISCO";-;-;1;7;8
"0301070024 ACOMPANHAMENTO DE PACIENTE EM REABILITACAO EM COMUNICACAO ALTERNATIVA";1;1;1;-;3
"0301070032 ACOMPANHAMENTO DE PACIENTE P/ ADAPTACAO DE APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) UNI / B";-;1;1;-;2
"0301070059 ACOMPANHAMENTO PSICOPEDAGOGICO DE PACIENTE EM REABILITACAO";-;-;2;-;2
"0301070067 ATENDIMENTO / ACOMPANHAMENTO EM REABILITAÇÃO NAS MULTIPLAS DEFICIÊNCIAS";-;-;1;7;8
"0301070113 TERAPIA FONOAUDIOLÓGICA INDIVIDUAL";-;-;-;2;2
"0301080194 ACOLHIMENTO DIURNO DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL";22;1;10;-;33
"0301080208 ATENDIMENTO INDIVIDUAL DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL";22;1;12;-;35
"0301080232 ACOLHIMENTO INICIAL POR CENTRO DE ATENÇÃO PSICOSSOCIAL";-;-;10;-;10
"0301100039 AFERIÇÃO DE PRESSÃO ARTERIAL";-;-;-;2;2
"0301100195 ADMINISTRAÇÃO DE MEDICAMENTOS POR VIA ENDOVENOSA";-;-;-;1;1
"0301120048 ACOMPANHAMENTO DE PACIENTE COM HIPOTIREOIDISMO CONGÊNITO";-;1;-;-;1
"0302060014 ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES COM DISTÚRBIOS NEURO-CINÉTICO-FUNCIONAIS SEM COMPLICAÇ";1;-;1;-;2
"0302060030 ATENDIMENTO FISIOTERAPÊUTICO NAS DESORDENS DO DESENVOLVIMENTO NEURO MOTOR";2;4;5;4;15
"0302060057 ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE NO PRÉ/PÓS-OPERATÓRIO DE NEUROCIRURGIA";-;-;2;-;2
"0304010367 RADIOTERAPIA DE CABEÇA E PESCOÇO";-;1;-;-;1
"0304010413 RADIOTERAPIA DE MAMA";1;-;-;-;1
"0304010421 RADIOTERAPIA DE CÂNCER GINECOLÓGICO";-;1;-;-;1
"0304010430 BRAQUITERAPIA GINECOLÓGICA";1;-;1;-;2
"0304010529 RADIOTERAPIA DE METÁSTASE EM SISTEMA NERVOSO CENTRAL";-;1;-;-;1
"0304020060 HORMONIOTERAPIA DO ADENOCARCINOMA DE PRÓSTATA AVANÇADO - 2ª LINHA";-;1;1;1;3
"0304020079 HORMONIOTERAPIA DO ADENOCARCINOMA DE PRÓSTATA AVANÇADO - 1ª LINHA";8;8;8;8;32
"0304020133 QUIMIOTERAPIA DO CARCINOMA DE MAMA AVANÇADO -1ª LINHA";2;1;1;1;5
"0304020141 QUIMIOTERAPIA DO CARCINOMA DE MAMA AVANÇADO - 2ª LINHA";-;1;1;1;3
"0304020184 QUIMIOTERAPIA DO CARCINOMA EPIDERMÓIDE / ADENOCARCINOMA DO COLO OU DO CORPO UTERINO AVANÇADO";1;-;-;-;1
"0304020311 QUIMIOTERAPIA DO TUMOR DO ESTROMA GASTROINTESTINAL AVANÇADO";-;-;-;1;1
"0304020338 HORMONIOTERAPIA DO CARCINOMA DE MAMA AVANÇADO - 2ª LINHA";1;1;2;2;6
"0304020389 QUIMIOTERAPIA DE CARCINOMA DO FÍGADO OU DO TRATO BILIAR AVANÇADO";-;-;-;1;1
"0304030031 QUIMIOTERAPIA DE DOENÇA MIELOPROLIFERATIVA RARA - 1ª LINHA";2;1;2;1;6
"0304030074 QUIMIOTERAPIA DE LEUCEMIA MIELOIDE CRONICA QUALQUER FASE - CONTROLE SANGÜINEO";2;3;1;1;7
"0304030112 QUIMIOTERAPIA DA LEUCEMIA MIELÓIDE CRÔNICA EM FASE CRÔNICA - MARCADOR POSITIVO - 1ª LINHA.";1;1;1;1;4
"0304040029 QUIMIOTERAPIA DO CARCINOMA DE MAMA (PRÉVIA)";-;-;-;1;1
"0304040061 QUIMIOTERAPIA DO CARCINOMA EPIDERMÓIDE DE SEIO PARA-NASAL/ LARINGE / HIPOFARINGE/ OROFARINGE /CAVIDA";-;1;1;1;3
"0304050040 HORMONIOTERAPIA DO CARCINOMA DE MAMA EM ESTÁDIO I";1;1;1;1;4
"0304050075 QUIMIOTERAPIA DO CARCINOMA DE MAMA EM ESTÁDIO II";1;1;2;1;5
"0304050113 HORMONIOTERAPIA DO CARCINOMA DE MAMA EM ESTÁDIO III";1;1;1;1;4
"0304050130 QUIMIOTERAPIA DO CARCINOMA DE MAMA EM ESTÁDIO I";1;-;1;-;2
"0304080071 INIBIDOR DA OSTEÓLISE";1;1;3;1;6
"0305010093 HEMODIÁLISE (MÁXIMO 1 SESSÃO POR SEMANA - EXCEPCIONALIDADE)";1;1;-;-;2
"0305010107 HEMODIÁLISE (MÁXIMO 3 SESSÕES POR SEMANA)";179;164;195;210;748
"0305010220 COMPLEMENTAÇÃO DE VALOR DE SESSÃO DE HEMODIÁLISE EM PACIENTE COM SUSPEIÇÃO OU CONFIRMAÇÃO DE";-;-;8;2;10
"0306020068 TRANSFUSAO DE CONCENTRADO DE HEMACIAS";-;-;-;2;2
"0401010015 CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO";6;34;28;8;76
"0401010058 EXCISAO DE LESAO E/OU SUTURA DE FERIMENTO DA PELE ANEXOS E MUCOSA";-;2;13;-;15
"0405050372 FACOEMULSIFICACAO C/ IMPLANTE DE LENTE INTRA-OCULAR DOBRAVEL";1;-;-;-;1
"0417010052 ANESTESIA REGIONAL";-;1;13;-;14
"0418010013 CONFECCAO DE FISTULA ARTERIO-VENOSA C/ ENXERTIA DE POLITETRAFLUORETILENO (PTFE)";1;-;-;-;1
"0418010030 CONFECCAO DE FISTULA ARTERIO-VENOSA P/ HEMODIALISE";-;-;-;1;1
"0418010064 IMPLANTE DE CATETER DUPLO LUMEN P/HEMODIALISE";3;-;3;3;9
"0501040064 PROVAS CRUZADAS EM DOADOR FALECIDO (CROSS MATCH)";-;1;-;-;1
"0501050019 AVALIACAO DE REATIVIDADE DO RECEPTOR CONTRA PAINEL DE CLASSE I OU CLASSE II (MINIMO 30 INFÒCITOS)";-;-;-;2;2
"0501080023 CONTAGEM DE CD4/CD3 EM PACIENTE TRANSPLANTADO";2;2;2;2;8
"0501080031 DOSAGEM DE CICLOSPORINA (EM PACIENTE TRANSPLANTADO)";4;4;4;4;16
"0501080058 DOSAGEM DE TACROLIMO (EM PACIENTE TRANSPLANTADO)";1;1;1;1;4
"0501080074 EXAMES MICROBIOLOGICOS EM PACIENTE TRANSPLANTADO";2;2;2;2;8
"0506010023 ACOMPANHAMENTO DE PACIENTE POS-TRANSPLANTE DE RIM FIGADO CORACAO PULMAO CELULAS-TRONCO HEMATOPOETICA";1;1;1;1;4
"0604010036 MESALAZINA 800 MG - POR COMPRIMIDO ";-;-;-;120;120
"0604060025 COMPLEMENTO ALIMENTAR P/ PACIENTE FENILCETONURICO MAIOR DE 1 ANO - FORMULA DE AMINOÁCIDOS ISENTA DE";-;-;-;2000;2000
"0604110030 LEUPRORRELINA 3,75 MG INJETAVEL (POR FRASCO-AMPOLA)";-;-;1;1;2
"0604240031 IMIGLUCERASE 400 U INJETÁVEL (POR FRASCO-AMPOLA)";-;-;-;8;8
"0604250037 ELTROMBOPAGUE OLAMINA 25 MG (POR COMPRIMIDO)";-;-;-;30;30
"0604260016 SACARATO DE HIDROXIDO FERRICO 100 MG INJETAVEL (POR FRASCO DE 5 ML)";24;24;10;4;62
"0604320051 MICOFENOLATO DE MOFETILA 500 MG (POR COMPRIMIDO)";60;120;-;120;300
"0604320060 MICOFENOLATO DE SODIO 180 MG (POR COMPRIMIDO)";180;-;90;90;360
"0604320078 MICOFENOLATO DE SODIO 360 MG (POR COMPRIMIDO)";120;330;330;210;990
"0604320086 SIROLIMO 1 MG (POR DRAGEA)";60;60;60;60;240
"0604340060 TACROLIMO 1 MG (POR CAPSULA)";-;270;330;360;960
"0604470045 ALFAEPOETINA 4.000 UI INJETAVEL (POR FRASCO-AMPOLA)";66;90;82;68;306
"0604480016 HIDROXIUREIA 500 MG (POR CAPSULA)";30;30;30;30;120
"0604530013 AZATIOPRINA 50 MG (POR COMPRIMIDO)";-;-;-;90;90
"0604620039 CALCITRIOL 0,25 MCG (POR CAPSULA)";-;-;30;30;60
"0604780010 INSULINA ANÁLOGA DE AÇÃO RÁPIDA 100 UI/ML (TUBETES DE 3ML)";3;-;-;-;3
"0701030151 MOLDE AURICULAR (REPOSIÇÃO)";-;1;1;-;2
"0702100021 CATETER P/ SUBCLAVIA DUPLO LUMEN P/ HEMODIALISE";3;-;3;3;9
"0702100099 DILATADOR P/ IMPLANTE DE CATETER DUPLO LUMEN";3;-;3;3;9
"0702100102 GUIA METALICO P/ INTRODUCAO DE CATETER DUPLO LUMEN";3;-;3;3;9
"0803010010 AJUDA DE CUSTO P/ ALIMENTAÇÃO/PERNOITE DE PACIENTE";4;48;9;-;61
"0803010028 AJUDA DE CUSTO PARA ALIMENTAÇÃO DE PACIENTE SEM PERNOITE";1;6;2;-;9
"0803010044 AJUDA DE CUSTO PARA ALIMENTAÇÃO/PERNOITE DE ACOMPANHANTE";4;15;9;-;28
"0803010052 AJUDA DE CUSTO PARA ALIMENTAÇÃO DE ACOMPANHANTE S/PERNOITE";1;5;2;-;8
"0803010079 UNIDADE DE REMUNERAÇÃO PARA DESLOCAMENTO DE ACOMPANHANTE POR TRANSPORTE AÉREO (CADA 200 MILHAS)";6;60;12;-;78
"0803010087 UNIDADE DE REMUNERAÇÃO PARA DESLOCAMENTO DE PACIENTE POR TRANSPORTE AÉREO (CADA 200 MILHAS)";6;60;9;-;75
"Total";1140;1766;2116;3962;8984
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 A informação de município de residência só está disponível para os registros feitos através do Boletim de Produção Ambulatorial
 Individualizado (BPA-I) ou pelas Autorizações de Procedimentos de Alta Complexidade (APAC).
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
